exp_number,task_id,job_id,job_state,job_exit_code,job_elapsed,run_id,strategy,n_target_labels,seed,config_path,experiment_dir,experiment_dir_exists,experiment_dir_populated,metrics_path,metrics_json_exists,metrics_parse_ok,status,status_reason,source_overlap_n,target_overlap_n,source_after_label_n,target_after_label_n,target_calibration_n,target_eval_n,source_train_n,source_test_n,actual_cal_n,actual_eval_n,target_r2,target_mae_log,target_smape,target_slope,target_intercept,target_r2_ci_lower,target_r2_ci_upper,target_r2_ci_mean,source_test_r2,log_out_path,log_err_path
13,11,10409707_11,COMPLETED,0:0,00:03:11,EXP-013_few_shot_main_output_recal_n50_seed2024,output_recal,50,2024,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-013_few_shot_main_output_recal_n50_seed2024/config/EXP-013_few_shot_main_output_recal_n50_seed2024.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-013_few_shot_main_output_recal_n50_seed2024,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-013_few_shot_main_output_recal_n50_seed2024/results/metrics.json,True,True,complete,,3368,261,3368,260,50,210,2694,674,50,210,0.011835391556354713,0.11986350113428278,77.82036336927354,11.840924012965631,-2.0050296870298,-0.035689139333226885,0.02547436982084851,0.007075317804940228,0.23976142641769327,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_11.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_11.err
14,12,10409707_12,COMPLETED,0:0,00:03:11,EXP-014_few_shot_main_output_recal_n50_seed2025,output_recal,50,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-014_few_shot_main_output_recal_n50_seed2025/config/EXP-014_few_shot_main_output_recal_n50_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-014_few_shot_main_output_recal_n50_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-014_few_shot_main_output_recal_n50_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_12.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_12.err
15,13,10409707_13,COMPLETED,0:0,00:03:11,EXP-015_few_shot_main_output_recal_n100_seed1337,output_recal,100,1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-015_few_shot_main_output_recal_n100_seed1337/config/EXP-015_few_shot_main_output_recal_n100_seed1337.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-015_few_shot_main_output_recal_n100_seed1337,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-015_few_shot_main_output_recal_n100_seed1337/results/metrics.json,True,True,complete,,6995,2459,6995,2455,100,2355,5596,1399,100,2355,0.08775862790683064,0.0829778680293171,80.58988537246381,0.6729710585578842,0.04419517087810403,0.0467467904284339,0.12412186336155454,0.08779087590288373,0.20910587917217016,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_13.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_13.err
16,14,10409707_14,COMPLETED,0:0,00:03:11,EXP-016_few_shot_main_output_recal_n100_seed2024,output_recal,100,2024,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-016_few_shot_main_output_recal_n100_seed2024/config/EXP-016_few_shot_main_output_recal_n100_seed2024.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-016_few_shot_main_output_recal_n100_seed2024,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-016_few_shot_main_output_recal_n100_seed2024/results/metrics.json,True,True,complete,,3368,261,3368,260,100,160,2694,674,100,160,0.09419720469304793,0.11210135805101418,67.48587571175318,1.6218659805743256,-0.10587293214379188,0.021632426400370372,0.14965977280661397,0.08526385542710674,0.23976142641769327,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_14.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_14.err
17,15,10409707_15,COMPLETED,0:0,00:02:13,EXP-017_few_shot_main_output_recal_n100_seed2025,output_recal,100,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-017_few_shot_main_output_recal_n100_seed2025/config/EXP-017_few_shot_main_output_recal_n100_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-017_few_shot_main_output_recal_n100_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-017_few_shot_main_output_recal_n100_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_15.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_15.err
18,16,10409707_16,COMPLETED,0:0,00:02:13,EXP-018_few_shot_main_output_recal_n200_seed1337,output_recal,200,1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-018_few_shot_main_output_recal_n200_seed1337/config/EXP-018_few_shot_main_output_recal_n200_seed1337.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-018_few_shot_main_output_recal_n200_seed1337,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-018_few_shot_main_output_recal_n200_seed1337/results/metrics.json,True,True,complete,,6995,2459,6995,2455,200,2255,5596,1399,200,2255,0.1160577491085184,0.08300120588563349,79.02953851883389,0.8249686962821337,0.018469974584825768,0.08377270038128892,0.14372308978884984,0.11364874321650874,0.20910587917217016,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_16.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_16.err
19,17,10409707_17,COMPLETED,0:0,00:02:13,EXP-019_few_shot_main_output_recal_n200_seed2024,output_recal,200,2024,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-019_few_shot_main_output_recal_n200_seed2024/config/EXP-019_few_shot_main_output_recal_n200_seed2024.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-019_few_shot_main_output_recal_n200_seed2024,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-019_few_shot_main_output_recal_n200_seed2024/results/metrics.json,True,True,complete,,3368,261,3368,260,200,60,2694,674,200,60,0.01828964596776772,0.11368766404742423,58.53027988574946,0.7010462261478579,0.07532897789623544,-0.23287761446238364,0.18558482687860037,-0.003032661654021012,0.23976142641769327,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_17.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_17.err
20,18,10409707_18,COMPLETED,0:0,00:02:13,EXP-020_few_shot_main_output_recal_n200_seed2025,output_recal,200,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-020_few_shot_main_output_recal_n200_seed2025/config/EXP-020_few_shot_main_output_recal_n200_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-020_few_shot_main_output_recal_n200_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-020_few_shot_main_output_recal_n200_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_18.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_18.err
21,19,10409707_19,COMPLETED,0:0,00:02:25,EXP-021_few_shot_main_output_recal_n500_seed1337,output_recal,500,1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-021_few_shot_main_output_recal_n500_seed1337/config/EXP-021_few_shot_main_output_recal_n500_seed1337.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-021_few_shot_main_output_recal_n500_seed1337,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-021_few_shot_main_output_recal_n500_seed1337/results/metrics.json,True,True,complete,,6995,2459,6995,2455,500,1955,5596,1399,500,1955,0.11177345923829263,0.08213714508794805,78.3782173374199,0.84979710862814,0.017800326827589977,0.07122123760676842,0.14606673998140038,0.11027653228781827,0.20910587917217016,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_19.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_19.err
22,20,10409707_20,FAILED,1:0,00:02:25,EXP-022_few_shot_main_output_recal_n500_seed2024,output_recal,500,2024,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-022_few_shot_main_output_recal_n500_seed2024/config/EXP-022_few_shot_main_output_recal_n500_seed2024.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-022_few_shot_main_output_recal_n500_seed2024,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-022_few_shot_main_output_recal_n500_seed2024/results/metrics.json,False,False,missing_metrics,"ValueError: Found array with 0 sample(s) (shape=(0, 5)) while a minimum of 1 is required by SimpleImputer.",3368,261,3368,260,260,0,2694,674,,,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_20.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_20.err
