exp_num,exp_dir,metrics_exists,strategy,n_target_labels,target_label_seed,actual_cal_n,actual_eval_n,effective_n_target_labels,calibration_n_capped,min_target_eval_rows,min_target_eval_rows_satisfied,overlap_total,target_r2,target_mae_log,target_smape,target_slope,target_bias_log,target_overflow_pred,created_utc,pair_source,pair_target,regime,run_id,overlap,limitations
98,experiments/EXP-098_few_shot_repair_non1337_fine_tune_n100_seed2024,True,fine_tune,100,2024,100,123,100,False,50,True,223,0.035644247001294205,0.09163384961043962,62.71534382378993,1.7325958552970606,-0.004772194045205682,False,2026-03-16T22:47:42Z,,,hardware_cpu_standard,EXP-098_few_shot_repair_non1337_fine_tune_n100_seed2024,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=100. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
99,experiments/EXP-099_few_shot_repair_non1337_fine_tune_n100_seed2025,True,fine_tune,100,2025,100,123,100,False,50,True,223,0.040612796439272514,0.08915487763007943,64.31499873381166,1.9877278993347756,0.005464803242614836,False,2026-03-16T22:49:38Z,,,hardware_cpu_standard,EXP-099_few_shot_repair_non1337_fine_tune_n100_seed2025,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=100. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
100,experiments/EXP-100_few_shot_repair_non1337_fine_tune_n200_seed2024,True,fine_tune,200,2024,173,50,173,True,50,True,223,0.012995364636003814,0.08160365786087354,50.95726177124942,1.4584822449023316,0.014313513882594853,False,2026-03-16T22:52:07Z,,,hardware_cpu_standard,EXP-100_few_shot_repair_non1337_fine_tune_n200_seed2024,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=200. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 200 was capped to 173 to preserve at least 50 target evaluation rows."
101,experiments/EXP-101_few_shot_repair_non1337_fine_tune_n200_seed2025,True,fine_tune,200,2025,173,50,173,True,50,True,223,0.02664590453737814,0.09893452220579099,65.2163517188759,2.641058134171101,0.017395837657545404,False,2026-03-16T22:53:54Z,,,hardware_cpu_standard,EXP-101_few_shot_repair_non1337_fine_tune_n200_seed2025,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=200. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 200 was capped to 173 to preserve at least 50 target evaluation rows."
102,experiments/EXP-102_few_shot_repair_non1337_fine_tune_n500_seed2024,True,fine_tune,500,2024,173,50,173,True,50,True,223,0.012995364636003814,0.08160365786087354,50.95726177124942,1.4584822449023316,0.014313513882594853,False,2026-03-16T22:55:51Z,,,hardware_cpu_standard,EXP-102_few_shot_repair_non1337_fine_tune_n500_seed2024,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=500. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 500 was capped to 173 to preserve at least 50 target evaluation rows."
103,experiments/EXP-103_few_shot_repair_non1337_fine_tune_n500_seed2025,True,fine_tune,500,2025,173,50,173,True,50,True,223,0.02664590453737814,0.09893452220579099,65.2163517188759,2.641058134171101,0.017395837657545404,False,2026-03-16T22:57:40Z,,,hardware_cpu_standard,EXP-103_few_shot_repair_non1337_fine_tune_n500_seed2025,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=500. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 500 was capped to 173 to preserve at least 50 target evaluation rows."
104,experiments/EXP-104_few_shot_repair_non1337_stacked_n10_seed2024,True,stacked,10,2024,10,213,10,False,50,True,223,-0.35583012802814085,0.08464917419097714,37.80495980408951,-0.6004211223852178,0.055749104683224186,False,2026-03-16T22:59:32Z,,,hardware_cpu_standard,EXP-104_few_shot_repair_non1337_stacked_n10_seed2024,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=stacked, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
105,experiments/EXP-105_few_shot_repair_non1337_stacked_n10_seed2025,True,stacked,10,2025,10,213,10,False,50,True,223,-0.13567076874900397,0.08713688229477154,47.764271023121594,-0.9734772778025043,0.02100423880492492,False,2026-03-16T23:01:36Z,,,hardware_cpu_standard,EXP-105_few_shot_repair_non1337_stacked_n10_seed2025,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=stacked, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
106,experiments/EXP-106_few_shot_repair_non1337_stacked_n25_seed2024,True,stacked,25,2024,25,198,25,False,50,True,223,0.028056655767911165,0.09085307372412435,67.76243140021401,0.7636063775643854,-0.0019242624266550606,False,2026-03-16T23:03:07Z,,,hardware_cpu_standard,EXP-106_few_shot_repair_non1337_stacked_n25_seed2024,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=stacked, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
107,experiments/EXP-107_few_shot_repair_non1337_stacked_n25_seed2025,True,stacked,25,2025,25,198,25,False,50,True,223,0.020168825840077065,0.08554201472156665,63.545969633076815,1.0175506466663178,0.014945567497196381,False,2026-03-16T23:05:01Z,,,hardware_cpu_standard,EXP-107_few_shot_repair_non1337_stacked_n25_seed2025,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=stacked, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
