analysis_origin,source_artifact,exp_number,run_id,experiment_dir,created_utc,strategy,n_target_labels,requested_n_target_labels,effective_n_target_labels,seed,source_cluster,target_cluster,regime,overlap_run_id,overlap_band,source_overlap_n,target_overlap_n,actual_cal_n,actual_eval_n,min_target_eval_rows,min_target_eval_rows_satisfied,below_min_target_eval_rows,calibration_n_capped,target_r2,delta_vs_exp002,target_mae_log,target_smape,target_slope,target_intercept,target_bias_log,row_status,status_reason,limitations
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,91,EXP-091_few_shot_repair_non1337_output_recal_n500_seed2025,experiments/EXP-091_few_shot_repair_non1337_output_recal_n500_seed2025,2026-03-16T22:33:54Z,output_recal,500,500,173,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,-0.0100959872795893,-0.1170959872795893,0.1003473395873694,65.23794133983421,1.9638293985599964,,0.0201493824491227,complete,,"Few-shot strategy=output_recal, N=500. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 500 was capped to 173 to preserve at least 50 target evaluation rows."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,24,EXP-024_few_shot_main_fine_tune_n10_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-024_few_shot_main_fine_tune_n10_seed1337,,fine_tune,10,10,10,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,10,2445,50,True,False,False,0.0880650003169132,-0.018934999683086803,0.0764098537514497,61.52498918226665,0.8801944828425398,0.0306687059849256,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,92,EXP-092_few_shot_repair_non1337_fine_tune_n10_seed2024,experiments/EXP-092_few_shot_repair_non1337_fine_tune_n10_seed2024,2026-03-16T22:35:55Z,fine_tune,10,10,10,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,10,213,50,True,False,False,0.0104169521610416,-0.0965830478389584,0.0845104824696361,61.74743758791281,1.2340758344840428,,0.0229438554284263,complete,,"Few-shot strategy=fine_tune, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,93,EXP-093_few_shot_repair_non1337_fine_tune_n10_seed2025,experiments/EXP-093_few_shot_repair_non1337_fine_tune_n10_seed2025,2026-03-16T22:37:54Z,fine_tune,10,10,10,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,10,213,50,True,False,False,0.0077774724321787,-0.0992225275678213,0.0912413861567272,61.81724272280926,2.2436723405492325,,0.0039249392159645,complete,,"Few-shot strategy=fine_tune, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,27,EXP-027_few_shot_main_fine_tune_n25_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-027_few_shot_main_fine_tune_n25_seed1337,,fine_tune,25,25,25,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,25,2430,50,True,False,False,0.1298954399853988,0.022895439985398794,0.0850368091600433,75.37012022478935,1.1727677546184685,-0.0277138742965445,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,94,EXP-094_few_shot_repair_non1337_fine_tune_n25_seed2024,experiments/EXP-094_few_shot_repair_non1337_fine_tune_n25_seed2024,2026-03-16T22:40:06Z,fine_tune,25,25,25,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,25,198,50,True,False,False,0.0213261417560346,-0.0856738582439654,0.0921188581237535,66.88082333139738,0.9540693728161914,,-0.0041024044414777,complete,,"Few-shot strategy=fine_tune, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,95,EXP-095_few_shot_repair_non1337_fine_tune_n25_seed2025,experiments/EXP-095_few_shot_repair_non1337_fine_tune_n25_seed2025,2026-03-16T22:42:05Z,fine_tune,25,25,25,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,25,198,50,True,False,False,0.033064221565213,-0.07393577843478699,0.0889967618180402,64.91941943981902,1.4763539952455438,,0.007183972664687,complete,,"Few-shot strategy=fine_tune, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,30,EXP-030_few_shot_main_fine_tune_n50_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-030_few_shot_main_fine_tune_n50_seed1337,,fine_tune,50,50,50,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,50,2405,50,True,False,False,0.1095611160435418,0.0025611160435417973,0.08467326354069,80.82578689371172,0.7553904428185652,0.0247037063191695,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,96,EXP-096_few_shot_repair_non1337_fine_tune_n50_seed2024,experiments/EXP-096_few_shot_repair_non1337_fine_tune_n50_seed2024,2026-03-16T22:44:00Z,fine_tune,50,50,50,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,50,173,50,True,False,False,-0.0136650070835631,-0.12066500708356309,0.0957225935962863,64.36585990035411,-9.002542928977554,,0.0027033354412879,complete,,"Few-shot strategy=fine_tune, N=50. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,97,EXP-097_few_shot_repair_non1337_fine_tune_n50_seed2025,experiments/EXP-097_few_shot_repair_non1337_fine_tune_n50_seed2025,2026-03-16T22:45:51Z,fine_tune,50,50,50,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,50,173,50,True,False,False,0.0332362200073833,-0.0737637799926167,0.0912711304926142,63.63548174570439,3.1758216789947453,,-7.398212051776474e-05,complete,,"Few-shot strategy=fine_tune, N=50. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
