feature,coefficient,abs_coefficient,variant,intercept,cluster
log_timelimit,0.6718904161566208,0.6718904161566208,full,2.3422773114286715,S
month_3,-0.2650089309527958,0.2650089309527958,full,2.3422773114286715,S
month_1,-0.24546188448105383,0.24546188448105383,full,2.3422773114286715,S
month_12,0.21687378320458942,0.21687378320458942,full,2.3422773114286715,S
month_4,-0.17620072533254202,0.17620072533254202,full,2.3422773114286715,S
log_wait_sec,0.17603769905432398,0.17603769905432398,full,2.3422773114286715,S
month_10,0.14599095338945994,0.14599095338945994,full,2.3422773114286715,S
month_7,-0.13789832728317777,0.13789832728317777,full,2.3422773114286715,S
month_8,0.11559037740057447,0.11559037740057447,full,2.3422773114286715,S
month_9,0.10375095754232469,0.10375095754232469,full,2.3422773114286715,S
month_6,0.09392171420849892,0.09392171420849892,full,2.3422773114286715,S
month_11,0.08793594883016978,0.08793594883016978,full,2.3422773114286715,S
nhosts,-0.07645578016337509,0.07645578016337509,full,2.3422773114286715,S
month_2,0.04508173030824776,0.04508173030824776,full,2.3422773114286715,S
month_5,0.015424426555623967,0.015424426555623967,full,2.3422773114286715,S
ncores,0.004792869428600139,0.004792869428600139,full,2.3422773114286715,S
month_12,0.3799665300476043,0.3799665300476043,no_timelimit,5.379747567823692,S
month_4,-0.36226573370737125,0.36226573370737125,no_timelimit,5.379747567823692,S
month_9,0.3315186527370503,0.3315186527370503,no_timelimit,5.379747567823692,S
nhosts,-0.28346058661872475,0.28346058661872475,no_timelimit,5.379747567823692,S
month_7,-0.28145297940494024,0.28145297940494024,no_timelimit,5.379747567823692,S
month_3,-0.2788778682085371,0.2788778682085371,no_timelimit,5.379747567823692,S
log_wait_sec,0.2742885925453126,0.2742885925453126,no_timelimit,5.379747567823692,S
month_11,0.2561683439899302,0.2561683439899302,no_timelimit,5.379747567823692,S
month_5,-0.22720770938006332,0.22720770938006332,no_timelimit,5.379747567823692,S
month_10,0.2105542197888541,0.2105542197888541,no_timelimit,5.379747567823692,S
month_6,-0.08158068694788737,0.08158068694788737,no_timelimit,5.379747567823692,S
month_2,0.06658608248194826,0.06658608248194826,no_timelimit,5.379747567823692,S
month_1,-0.043215830247933795,0.043215830247933795,no_timelimit,5.379747567823692,S
month_8,0.02980695950362261,0.02980695950362261,no_timelimit,5.379747567823692,S
ncores,0.01765446327617869,0.01765446327617869,no_timelimit,5.379747567823692,S
log_timelimit,0.7941930472955433,0.7941930472955433,timelimit_only,2.485257624220279,S
log_timelimit,0.673338216655259,0.673338216655259,no_month,2.318567721683805,S
log_wait_sec,0.1766690743131175,0.1766690743131175,no_month,2.318567721683805,S
nhosts,-0.07521476339821466,0.07521476339821466,no_month,2.318567721683805,S
ncores,0.004715673873616434,0.004715673873616434,no_month,2.318567721683805,S
