start_year,start_month,source_token,jobs,runtime_mean_sec,runtime_median_sec,runtime_p90_sec,runtime_p99_sec,wait_mean_sec,wait_median_sec,wait_p90_sec,ncores_mean,ncores_p90,peak_memused_mean,peak_memused_p90,peak_memused_p99,cpuuser_mean_of_mean,frac_jobs_with_gpu_samples,frac_jobs_with_mem_samples
2015,10,S,75067,18587.008845431414,3157,65447,172815,14562.036194333063,1444,42039,219.38332423035422,507.8214697077828,9.785529986749438,21.433778801929375,30.599648334171892,69.21432502275525,0.0,1.0
2015,11,C,49760,11119.81036977492,606,14462,217379,13241.56768488746,727,33690,1.0,1.0,4.899916493157994,11.189253124850058,31.861257118669215,37.83511530637262,0.0,1.0
2015,11,S,75145,18454.992121897663,2302,76923,172812,19345.7753809302,3731,54315,186.6812163151241,256.0,9.88063332634859,20.644864765459616,30.35212743024131,67.95417980157727,0.0,1.0
2015,12,C,48725,7927.925459209851,485,14332,179993,15735.554848640328,355,47332,1.0,1.0,5.858813154241137,13.65149524317883,31.864666243444173,41.1794628953484,0.0,1.0
2015,12,S,76403,18493.655589440204,1228,80294,172814,12784.398322055416,291,34747,171.1371543002238,256.0,9.301546871340676,21.67334319669979,30.36324570487655,66.73677230718201,0.0,1.0
2016,1,C,25813,12426.668190446675,298,13189,372267,16550.457288962927,2321,32875,1.0,1.0,5.592961074864467,13.811084432339253,31.8622914160327,44.04437049721475,0.0,1.0
2016,1,S,116858,12592.382780810898,406,37596,172805,5479.4600112957605,9,16748,161.80910164473121,256.0,7.814229376006166,17.66895021886909,30.33710687337874,64.64235551458576,0.0,1.0
2016,2,C,114236,3560.553424489653,679,2783,57620,15205.094970061977,1658,40578,1.0,1.0,8.885823477468975,16.52900557092231,24.35671790020693,63.70899704406943,0.0,1.0
2016,2,S,86620,15454.61459247287,758,53816,172811,17279.236423458784,1627,49984,158.17889632879243,256.0,8.607747313119402,19.983085844571576,30.3569322342566,66.89885893238397,0.0,1.0
2016,3,C,65292,5727.733780555045,693,6112,118432,17529.919300986337,1805,50179,1.0,1.0,7.611278145091587,14.743876557233138,24.797418868866806,59.36839162747409,0.0,1.0
