variant,train_spec,train_clusters,cluster_conditioning,test_cluster,n_train,n_test,r2,mae_log,mdae_log,smape,r2_ci_low,r2_ci_high,mae_log_ci_low,mae_log_ci_high,mdae_log_ci_low,mdae_log_ci_high,smape_ci_low,smape_ci_high,shift_smd_mean,shift_smd_max,shift_jsd_mean
with_timelimit,pooled_all_with_cluster,S+C+NONE,True,NONE,6024405,49651,0.7516341141204803,1.2678601986104738,1.0766834588627763,98.34633635419713,0.7469537034912289,0.7557487189397373,1.2592206389725118,1.2768643433309428,1.0766776720936448,1.0766834588627763,98.34589760076446,98.34633635419713,1.7195349448341084,5.939660910728894,0.32570751407785004
no_timelimit,single,S,False,S,4837564,166819,-0.0370495131579649,2.5399020036724727,2.3952374611610505,166.5853638915576,-0.03933367245483038,-0.035247693608556105,2.5342697263069627,2.546157919170319,2.3787248767903573,2.4099195553422,166.076205290056,167.0322402090285,0.09527275353342332,0.1020585690524771,0.051317107845871617
no_timelimit,single,S,False,C,4837564,525341,-0.10485773877284155,2.1834105485872235,2.368891801652147,165.76967205040523,-0.10672860454373342,-0.10273180747826836,2.1808099263055114,2.186308605871613,2.3670686470906315,2.370509597758282,165.712562283333,165.82027681114818,1.767149853984196,2.678387215535122,0.45732961904074826
no_timelimit,single,S,False,NONE,4837564,49651,-0.20988346344569186,2.694329533882323,2.0388929227305743,153.92819684707962,-0.21739590152787147,-0.20353828917470224,2.6741751712210395,2.711930873312648,2.025557353020292,2.042086654971503,153.38177231827814,154.0582299894619,1.1164735068675669,1.2931340092379515,0.3518484653685195
no_timelimit,single,C,False,S,1020786,166819,-0.05455668191331964,2.5087076718632053,2.330776128552702,164.55761212538343,-0.05814574072206745,-0.05120467530673224,2.502666710323283,2.5154049756358865,2.316462365137273,2.3469765249497905,164.09251847955974,165.0774441411583,169319046.7835216,338638091.71921575,0.44371375697063586
no_timelimit,single,C,False,C,1020786,525341,-0.3655426452601427,2.4187467814329615,2.4444836047570457,168.062845078721,-0.3687454269528438,-0.36190242663401395,2.415568853745333,2.422277610753992,2.4444836047570457,2.4447997913029655,168.062845078721,168.07213384933593,0.05026603376340387,0.09979152363909932,0.012416189696972536
no_timelimit,single,C,False,NONE,1020786,49651,-0.4287975693881465,2.816301001532018,1.4816728572479976,125.93005102611802,-0.43946140190032823,-0.41821487919669326,2.793262248878767,2.839016240492517,1.463654351745319,1.4816728572479976,124.83638672668533,125.93005102611802,90563236.58847667,181126472.8604007,0.15488288983973852
no_timelimit,single,NONE,False,S,166055,166819,-0.21268779805510385,2.678403642823567,2.401374500499994,166.7728223892723,-0.21927686263165666,-0.20608437651339445,2.6702760782949784,2.6861377106603768,2.388335645071035,2.4092103905194713,166.37340104056742,167.0107807036868,1.3897985990250805,2.4535972328633644,0.28881327104502774
no_timelimit,single,NONE,False,C,166055,525341,-0.8366228529665758,2.31510384322472,1.3854883041355857,119.94840001258027,-0.84042015708312,-0.8313382613314646,2.3096433110478176,2.320594864435149,1.375171998244971,1.3980885142545472,119.28579317339556,120.75215563732752,0.768301244514122,1.5071065090224542,0.24262673210580668
no_timelimit,single,NONE,False,NONE,166055,49651,0.5175086638020001,1.7215597269420355,1.2743171205656285,112.59234865967333,0.5132452280700569,0.5212682067313945,1.7112306020378039,1.7326905073043257,1.2597519867094855,1.2950993416096916,111.59336186882346,114.00361669597281,0.3834665457675014,0.5266376303854392,0.07822858532965696
no_timelimit,pooled_all_no_cluster,S+C+NONE,False,S,6024405,166819,-0.03812312151779951,2.5410025825839484,2.3999519495549606,166.7294553151424,-0.040336112337628204,-0.03581966381753211,2.5338577086149123,2.5475393293111375,2.388289898347842,2.4123336211093442,166.37198911414322,167.10519050660926,0.17052386288022503,0.27883552609106954,0.08441119718604037
no_timelimit,pooled_all_no_cluster,S+C+NONE,False,C,6024405,525341,-0.23596578603369678,2.32509113242919,2.473438595075203,168.90346487998704,-0.23891268817509448,-0.2330808823184297,2.3216455531447653,2.3275259301860722,2.4630263614870715,2.4766842504001487,168.60353592688477,168.99641971114124,1.167567357894433,1.619186253064666,0.3060937521548883
no_timelimit,pooled_all_no_cluster,S+C+NONE,False,NONE,6024405,49651,-0.4045791675596393,2.9513861591498776,2.6614794621822915,173.88600370572337,-0.411611953747835,-0.39736074362700863,2.932061170877526,2.971817274614102,2.6468806627611388,2.6762945479674327,173.52738999699267,174.24530666714756,0.7032752494227175,0.8025542042583402,0.24191625638769834
no_timelimit,pooled_all_with_cluster,S+C+NONE,True,S,6024405,166819,-0.038081507833339856,2.540244859411191,2.3913527664087546,166.4662110360503,-0.0405514801743758,-0.03584324257237621,2.5322988722832913,2.5482198314601816,2.373005225645549,2.4050986737805333,165.89820751698397,166.8861073913449,0.2912796478235371,0.49531661654654097,0.06295827663291208
no_timelimit,pooled_all_with_cluster,S+C+NONE,True,C,6024405,525341,-0.3658354760549012,2.4189295299408635,2.444497909871792,168.06326566332527,-0.3701115064908495,-0.3618817368700682,2.4155072350545446,2.4216206527307578,2.444497909871792,2.4447765272201964,168.06326566332527,168.07145019681548,1.3472780874498564,2.2139853986343616,0.29971232737718495
no_timelimit,pooled_all_with_cluster,S+C+NONE,True,NONE,6024405,49651,0.2990004050592927,2.1971740103355644,2.122340978273199,157.22228647605024,0.2960034148494836,0.3015281905526938,2.184293122249625,2.208869700082193,2.1143409356061227,2.129151053543996,156.91569937685367,157.4817547975714,1.9633592223519094,5.939660910728894,0.3203337347820385
